subject,Group,d_prime_speech_words,d_prime_speech_pseudowords,d_prime_speech_ctrl,d_prime_read_words,d_prime_read_pseudowords,d_prime_read_ctrl,speed_words,speed_pseudo
Blind_1,Blind,4.65269574808168,4.65269574808168,4.65269574808168,3.39391839791898,3.39391839791898,3.39391839791898,48,32
Blind_10,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,67,42
Blind_11,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,73,42
Blind_12,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,76,47
Blind_13,Blind,4.65269574808168,4.65269574808168,4.48639229722512,3.39391839791898,3.39391839791898,3.39391839791898,94,66
Blind_14,Blind,4.65269574808168,3.39391839791898,4.65269574808168,4.65269574808168,4.65269574808168,2.75091878788175,91,45
Blind_15,Blind,4.65269574808168,4.65269574808168,3.22761494706242,4.65269574808168,4.65269574808168,3.39391839791898,79,48
Blind_16,Blind,4.65269574808168,4.65269574808168,4.48639229722512,4.65269574808168,2.72599324511715,4.19595452115974,93,65
Blind_17,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.48639229722512,48,38
Blind_18,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,53,37
Blind_19,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,3.39391839791898,18,17
Blind_2,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,3.39391839791898,4.65269574808168,60,38
Blind_20,Blind,4.65269574808168,4.65269574808168,4.65269574808168,3.39391839791898,4.65269574808168,4.65269574808168,53,32
Blind_3,Blind,4.65269574808168,4.65269574808168,4.48639229722512,3.39391839791898,4.65269574808168,4.65269574808168,50,46
Blind_4,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,3.39391839791898,2.75091878788175,60,42
Blind_5,Blind,4.65269574808168,4.65269574808168,3.75242474631369,4.65269574808168,3.39391839791898,2.93717717099704,50,35
Blind_6,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,62,37
Blind_7,Blind,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,61,45
Blind_8,Blind,4.65269574808168,3.22761494706242,4.65269574808168,4.65269574808168,3.39391839791898,2.43555546905177,66,52
Blind_9,Blind,3.39391839791898,3.39391839791898,3.39391839791898,2.8922966959737,2.8922966959737,0.80203612324076,70,47
Sighted_1,Sighted,4.65269574808168,4.65269574808168,3.48608991947619,4.65269574808168,4.65269574808168,4.65269574808168,127,72
Sighted_10,Sighted,4.65269574808168,4.65269574808168,2.39424803091317,3.39391839791898,2.8922966959737,4.65269574808168,147,61
Sighted_11,Sighted,4.65269574808168,4.65269574808168,4.19595452115974,4.65269574808168,4.65269574808168,4.65269574808168,145,108
Sighted_12,Sighted,4.65269574808168,4.65269574808168,4.65269574808168,3.39391839791898,4.65269574808168,4.65269574808168,103,60
Sighted_13,Sighted,4.65269574808168,4.65269574808168,3.86833417289529,4.65269574808168,4.65269574808168,4.48639229722512,107,89
Sighted_14,Sighted,4.65269574808168,4.65269574808168,2.3064649034595,3.39391839791898,4.65269574808168,4.19595452115974,145,105
Sighted_15,Sighted,4.65269574808168,4.65269574808168,1.14666513724233,4.65269574808168,4.65269574808168,4.65269574808168,122,81
Sighted_16,Sighted,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.48639229722512,150,120
Sighted_17,Sighted,4.65269574808168,4.65269574808168,3.22761494706242,4.65269574808168,4.65269574808168,3.39391839791898,132,73
Sighted_18,Sighted,4.65269574808168,4.65269574808168,2.39424803091317,4.65269574808168,4.65269574808168,4.65269574808168,133,101
Sighted_19,Sighted,4.65269574808168,4.65269574808168,3.86833417289529,4.65269574808168,4.65269574808168,4.65269574808168,148,92
Sighted_2,Sighted,4.65269574808168,4.65269574808168,4.48639229722512,4.65269574808168,4.65269574808168,4.65269574808168,150,118
Sighted_20,Sighted,4.65269574808168,4.65269574808168,4.19595452115974,4.65269574808168,4.65269574808168,4.65269574808168,118,62
Sighted_3,Sighted,4.65269574808168,4.65269574808168,1.24606450248014,4.65269574808168,4.65269574808168,4.65269574808168,122,74
Sighted_4,Sighted,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,116,63
Sighted_5,Sighted,4.65269574808168,4.65269574808168,3.39391839791898,4.65269574808168,4.65269574808168,4.65269574808168,149,92
Sighted_6,Sighted,4.65269574808168,4.65269574808168,2.75091878788175,4.65269574808168,4.65269574808168,4.65269574808168,125,62
Sighted_7,Sighted,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,144,84
Sighted_8,Sighted,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,150,125
Sighted_9,Sighted,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.65269574808168,4.48639229722512,121,64
